1719408350.1276991	{"bid": 36.13308438830437}
1719408350.1367197	{"bid": 34.73025759089904}
1719408350.1432972	{"bid": 34.112813147822436}
1719408350.1443698	{"bid": 40.5313646605573}
1719408350.1445417	{"bid": 35.50200917647959}
1719408350.1706378	{"bid": 26.96096166099761}
1719408350.1741047	{"bid": 22.843888581289892}
1719408350.1759014	{"bid": 24.07206353297976}
1719408350.1761785	{"bid": 24.393713066501494}
1719408350.1797447	{"bid": 29.657555826387885}
1719408350.2306628	{"bid": 33.93816535008682}
1719408350.2394168	{"bid": 32.74580042426748}
1719408350.242676	{"bid": 30.781392551440597}
1719408350.2453332	{"bid": 29.31314722044118}
1719408350.2488563	{"bid": 29.521522979976524}
1719408350.3601673	{"bid": 26.261271157220605}
1719408350.3612072	{"bid": 29.574075931000042}
1719408350.3644094	{"bid": 29.94397027474372}
1719408350.369611	{"bid": 30.29717893027567}
1719408350.3699708	{"bid": 30.10165897683303}
1719408350.457268	{"bid": 26.073915768150407}
1719408350.4585934	{"bid": 25.99928037204704}
1719408350.459276	{"bid": 23.031610923635363}
1719408350.4594562	{"bid": 20.752117247231727}
1719408350.45946	{"bid": 23.31440948399049}
1719408350.4981546	{"bid": 43.03959479378203}
1719408350.501014	{"bid": 39.30058994618896}
1719408350.5010936	{"bid": 40.104645527362976}
1719408350.5011113	{"bid": 40.301253534928335}
1719408350.5048676	{"bid": 40.94472707995203}
1719408350.5614076	{"bid": 24.085901787314437}
1719408350.5659175	{"bid": 18.980410677116}
1719408350.5661962	{"bid": 23.984333515970423}
1719408350.5680795	{"bid": 18.484874652377428}
1719408350.5709949	{"bid": 20.53469196502413}
1719408350.609543	{"bid": 35.294108211022866}
1719408350.613513	{"bid": 33.67887588021825}
1719408350.6137216	{"bid": 32.79463315215764}
1719408350.614211	{"bid": 39.233964219288715}
1719408350.6182778	{"bid": 38.30569305220743}
1719408350.658049	{"bid": 46.53753880747819}
1719408350.6583307	{"bid": 42.854690432051825}
1719408350.6620216	{"bid": 43.38185144372749}
1719408350.6621256	{"bid": 39.506547686526}
1719408350.6623952	{"bid": 39.968316122882}
1719408350.7079034	{"bid": 26.862462438240257}
1719408350.7102635	{"bid": 28.039737259084642}
1719408350.7202866	{"bid": 29.040004977816956}
1719408350.7217364	{"bid": 30.65387084178309}
1719408350.7219474	{"bid": 27.13763120865238}
